,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn
38,me2_211_7m,7mo,_03,0.23232323232323232,0.08110671936758893,0.07079841897233201,0.08443801652892563
39,me2_116_7m,7mo,_03,0.5036767676767677,0.15446640316205532,0.1397312252964427,0.04414876033057851
40,me2_113_7m,7mo,_03,0.20711111111111113,0.14074308300395258,0.17369169960474312,0.03947107438016529
41,me2_206_7m,7mo,_03,0.24048484848484847,0.13372332015810273,0.09457707509881422,0.08667768595041321
42,me2_127_7m,7mo,_03,0.6087272727272728,0.1309090909090909,0.12313043478260868,0.09527272727272727
43,me2_218_7m,7mo,_03,0.2659393939393939,0.29116205533596845,0.22194466403162058,0.09300826446280991
44,me2_204_7m,7mo,_03,0.4607272727272728,0.24790513833992092,0.26235573122529643,0.04515702479338843
45,me2_101_7m,7mo,_03,0.2868282828282828,0.146498023715415,0.23465612648221346,0.0720413223140496
46,me2_111_7m,7mo,_03,0.22210101010101008,0.11879841897233201,0.16531225296442686,0.21051239669421487
47,me2_221_7m,7mo,_03,0.4543838383838384,0.271304347826087,0.2662134387351779,0.2315619834710744
48,me2_128_7m,7mo,_03,0.5656565656565655,0.6091383399209487,0.36379446640316204,0.19421487603305787
49,me2_209_7m,7mo,_03,0.23353535353535357,0.3549407114624506,0.29305928853754937,0.041603305785123966
50,me2_212_7m,7mo,_03,0.4576565656565656,0.1289802371541502,0.1873201581027668,0.22427272727272723
51,me2_117_7m,7mo,_03,0.2848888888888889,0.36626086956521736,0.19766007905138336,0.07305785123966942
52,me2_119_7m,7mo,_04,0.3665050505050505,0.1666403162055336,0.11449802371541502,0.2032314049586777
53,me2_220_7m,7mo,_04,0.26193939393939397,0.5325849802371543,0.1110513833992095,0.365504132231405
54,me2_203_7m,7mo,_04,0.5343030303030303,0.34286166007905133,0.45334387351778654,0.25484297520661153
55,me2_207_7m,7mo,_04,0.3402020202020202,0.3290750988142293,0.134197628458498,0.08063636363636363
56,me2_205_7m,7mo,_04,0.3427474747474748,0.5428300395256916,0.26105928853754945,0.15305785123966942
57,me2_215_7m,7mo,_04,0.25357575757575757,0.2535652173913044,0.29875098814229245,0.08255371900826446
58,me2_217_7m,7mo,_04,0.5896969696969697,0.15557312252964425,0.09492490118577077,0.09105785123966942
59,me2_104_7m,7mo,_04,0.4066666666666667,0.1620869565217391,0.25716996047430835,0.09557851239669422
60,me2_120_7m,7mo,_04,0.436,0.11256916996047432,0.1642687747035573,0.09164462809917354
61,me2_106_7m,7mo,_04,0.20387878787878788,0.19155731225296438,0.3624031620553359,0.0683801652892562
62,me2_216_7m,7mo,_04,0.2730909090909091,0.19358102766798424,0.15971541501976283,0.08403305785123967
63,me2_114_7m,7mo,_04,0.4165252525252525,0.20556521739130437,0.2337391304347826,0.05626446280991737
64,me2_211_7m,7mo,_04,0.4961616161616162,0.08268774703557312,0.15196837944664032,0.18325619834710746
65,me2_116_7m,7mo,_04,0.21519191919191918,0.1822292490118577,0.17400790513833994,0.12138842975206612
66,me2_113_7m,7mo,_04,0.38561616161616163,0.09185770750988144,0.16803162055335968,0.06594214876033057
67,me2_206_7m,7mo,_04,0.2894141414141414,0.19528853754940712,0.11582608695652173,0.10271074380165289
68,me2_127_7m,7mo,_04,0.26646464646464646,0.14874308300395256,0.14909090909090908,0.10447107438016529
69,me2_218_7m,7mo,_04,0.3045656565656566,0.24951778656126483,0.08711462450592884,0.05820661157024794
70,me2_204_7m,7mo,_04,0.17846464646464646,0.10516996047430834,0.03895652173913044,0.089099173553719
71,me2_101_7m,7mo,_04,0.3151111111111111,0.152,0.28303557312252975,0.07090909090909091
72,me2_111_7m,7mo,_04,0.32868686868686875,0.2424347826086956,0.07108300395256917,0.08937190082644629
73,me2_221_7m,7mo,_04,0.5523232323232323,0.3338814229249012,0.10286166007905138,0.13325619834710745
74,me2_128_7m,7mo,_04,0.6567272727272727,0.3018498023715415,0.13359683794466404,0.23189256198347108
75,me2_209_7m,7mo,_04,0.2854545454545454,0.11917786561264823,0.09113043478260872,0.09034710743801652
76,me2_212_7m,7mo,_04,0.3331717171717172,0.4991620553359684,0.2019920948616601,0.243198347107438
77,me2_117_7m,7mo,_04,0.5774545454545454,0.2176442687747036,0.0751304347826087,0.14199173553719008
78,me2_112_11m,11mo,_02,0.2362020202020202,0.21565217391304348,0.11712252964426877,0.10314049586776862
79,me2_129_11m,11mo,_02,0.29187878787878785,0.13732806324110672,0.04442687747035573,0.08554545454545455
80,me2_315_11m,11mo,_02,0.22856565656565658,0.14305138339920948,0.10947035573122531,0.061041322314049594
81,me2_325_11m,11mo,_02,0.505090909090909,0.19516205533596842,0.294798418972332,0.12074380165289256
